customer_id,customer_name,gender,age,customer_segment,city,region,registration_date
C00065,CV Berkah Sejahtera,,,Small Business,Bandung,West Java,2025-10-08
C00066,Budi Kusuma,M,27.0,Consumer,East Jakarta,Jakarta,2024-12-15
C00067,Wahyu Hidayat,F,20.0,Consumer,Cimahi,West Java,2022-02-28
C00068,Maya Nugroho,F,57.0,Consumer,Bandung,West Java,2024-06-20
C00069,Indra Saputra,M,54.0,Consumer,Bandung,West Java,2024-06-05
C00070,Dewi Ramadhan,F,54.0,Consumer,Malang,East Java,2024-08-25
C00071,Budi Saputra,M,46.0,Consumer,Bekasi,West Java,2022-10-05
C00072,PT Nusantara Abadi,,,Small Business,Sidoarjo,East Java,2023-03-30
C00073,Raka Permata,M,31.0,Consumer,Bandung,West Java,2025-03-17
C00074,Joko Putri,F,18.0,Consumer,Bogor,West Java,2022-04-26
C00075,Fajar Pratama,F,39.0,Consumer,Kediri,East Java,2023-07-09
C00076,Gita Wijaya,F,29.0,Consumer,Cimahi,West Java,2025-05-20
C00077,Citra Maulana,M,52.0,Consumer,Tegal,Central Java,2022-11-22
C00078,Citra Wijaya,F,46.0,Consumer,,East Java,2025-10-28
C00079,PT Nusa Indonesia,,,Corporate,Medan,Sumatra,2022-05-03
C00080,Citra Kusuma,M,49.0,Consumer,Jember,East Java,2022-07-22
C00081,CV Sukses Sejahtera,,,Small Business,Makassar,Sulawesi,2024-02-15
C00082,CV Berkah Logistik,,,Small Business,Jember,East Java,2023-03-10
C00083,Citra Kusuma,F,25.0,Consumer,Balikpapan,Kalimantan,2024-05-01
C00084,Indra Maulana,F,41.0,Consumer,Magelang,Central Java,2024-01-17
C00085,Eko Maulana,M,37.0,Consumer,Balikpapan,Kalimantan,2024-02-10
C00086,Gita Nugroho,M,20.0,Consumer,Pontianak,Kalimantan,2022-03-17
C00087,CV Berkah Mandiri,,,Small Business,North Jakarta,Jakarta,2023-08-13
C00088,Maya Putri,F,57.0,Consumer,Pekanbaru,Sumatra,2025-10-26
C00089,Vina Nugroho,F,54.0,Consumer,Semarang,Central Java,2024-12-14
C00090,Dewi Putri,M,57.0,Consumer,Bandung,West Java,2023-11-09
C00091,Andi Santoso,M,19.0,Consumer,Magelang,Central Java,2023-11-06
C00092,Andi Wijaya,M,25.0,Consumer,West Jakarta,Jakarta,2022-06-19
C00093,Fajar Permata,M,44.0,Consumer,Malang,East Java,2025-05-03
C00094,Tio Nugroho,M,59.0,Consumer,Bandung,West Java,2023-04-16
C00095,Eko Putri,M,47.0,Consumer,Surabaya,East Java,2022-01-17
C00096,PT Maju Mandiri,,,Small Business,Bandung,West Java,2022-09-13
C00097,Karin Ramadhan,F,35.0,Consumer,Kediri,East Java,2024-12-19
C00098,CV Sukses Logistik,,,Small Business,Cimahi,West Java,2023-08-06
C00099,PT Sentosa Logistik,,,Small Business,Manado,Sulawesi,2024-11-23
C00100,Tio Pratama,F,30.0,Consumer,Medan,Sumatra,2022-10-17
C00101,Maya Putri,F,50.0,Consumer,Central Jakarta,Jakarta,2024-08-08
C00102,PT Nusantara Mandiri,,,Small Business,Banjarmasin,Kalimantan,2023-03-18
C00103,CV Sukses Sejahtera,,,Small Business,Depok,West Java,2024-08-06
C00104,Wahyu Kusuma,M,41.0,Consumer,Manado,Sulawesi,2023-11-17
C00105,Budi Saputra,M,22.0,Consumer,Pekanbaru,Sumatra,2023-04-19
C00106,Citra Saputra,M,38.0,Consumer,Pontianak,Kalimantan,2023-11-13
C00107,PT Nusantara Sejahtera,,,Small Business,West Jakarta,Jakarta,2022-01-09
C00108,PT Artha Abadi,,,Corporate,Palembang,Sumatra,2024-03-03
C00109,Joko Lestari,F,30.0,Consumer,Magelang,Central Java,2022-05-12
C00110,Vina Lestari,F,38.0,Consumer,Makassar,Sulawesi,2023-12-09
C00111,Andi Maulana,M,32.0,Consumer,Bekasi,West Java,2025-06-12
C00112,PT Global Sentosa,,,Corporate,Bogor,West Java,2023-03-30
C00113,Nadia Santoso,F,52.0,Consumer,Pontianak,Kalimantan,2024-06-13
C00114,Lina Maulana,M,20.0,Consumer,Bekasi,West Java,2025-05-06
C00115,Tio Ramadhan,F,24.0,Consumer,Malang,East Java,2024-08-29
C00116,PT Cakra Sentosa,,,Consumerr,Jember,East Java,2023-07-30
C00117,PT Mitra Retail,,,Corporate,Pekanbaru,Sumatra,2024-03-11
C00118,Sari Saputra,F,18.0,Consumer,Central Jakarta,Jakarta,2023-10-25
C00119,Dewi Ramadhan,M,19.0,Consumer,Magelang,Central Java,2022-06-16
C00120,PT Cakra Abadi,,,Corporate,Tegal,Central Java,2025-06-04
C00121,Budi Hidayat,F,35.0,Consumer,Depok,West Java,2023-04-19
C00122,PT Global Indonesia,,,Corporate,Central Jakarta,Jakarta,2025-03-27
C00123,PT Nusa Retail,,,Corporate,Bogor,West Java,2024-09-08
C00124,Indra Wijaya,F,21.0,Consumer,North Jakarta,Jakarta,2022-06-30
C00125,Indra Kusuma,F,53.0,Consumer,Bogor,West Java,2023-05-23
C00126,Joko Putri,M,59.0,Consumer,Central Jakarta,Jakarta,2024-03-29
C00127,Nadia Lestari,F,52.0,Consumer,South Jakarta,Jakarta,2023-04-23
C00128,PT Prima Jaya,,,Small Business,East Jakarta,Jakarta,2025-12-22
C00129,Fajar Lestari,F,19.0,Consumer,Bogor,West Java,2025-05-11
C00130,Joko Maulana,M,29.0,Consumer,Bandung,West Java,2022-03-17
C00131,Vina Nugroho,M,23.0,Consumer,Semarang,Central Java,2023-10-04
C00132,Lina Santoso,M,43.0,Consumer,Surabaya,East Java,2023-01-19
C00133,PT Sentosa Digital,,,Small Business,Surakarta,Central Java,2025-10-10
C00134,Yusuf Putri,M,24.0,Consumer,North Jakarta,Jakarta,2022-10-18
C00135,PT Mitra Retail,,,Corporate,Central Jakarta,Jakarta,2024-06-25
C00136,Nadia Putri,M,23.0,Consumer,Surabaya,East Java,2024-06-12
C00137,PT Sentosa Sejahtera,,,Small Business,Sidoarjo,East Java,2023-02-09
C00138,PT Nusantara Digital,,,Small Business,Surabaya,East Java,2024-10-19
C00139,Tio Kusuma,F,24.0,Consumer,Depok,West Java,2025-03-23
C00140,Eko Hidayat,M,60.0,Consumer,Pontianak,Kalimantan,2023-08-11
C00141,Yusuf Ramadhan,F,28.0,Consumer,Jember,East Java,2024-08-22
C00142,Citra Maulana,M,49.0,Consumer,West Jakarta,Jakarta,2025-08-04
C00143,Eko Permata,F,42.0,Consumer,Central Jakarta,Jakarta,2025-01-14
C00144,PT Maju Mandiri,,,Small Business,East Jakarta,Jakarta,2024-06-07
C00145,Nadia Saputra,M,53.0,Consumer,Semarang,Central Java,2023-07-10
C00146,PT Maju Sejahtera,,,Small Business,Banjarmasin,Kalimantan,2025-06-28
C00147,Lina Kusuma,M,56.0,Consumer,Tegal,Central Java,2024-08-01
C00148,Raka Saputra,F,21.0,Consumer,Bandung,West Java,2025-11-02
C00149,PT Maju Jaya,,,Small Business,Banjarmasin,Kalimantan,2025-05-05
C00150,CV Berkah Sejahtera,,,Small Business,Bandung,West Java,2025-08-29
C00151,PT Cakra Abadi,,,Corporate,Bekasi,West Java,2022-08-11
C00152,PT Sentosa Logistik,,,Small Business,North Jakarta,Jakarta,2024-01-15
C00153,Fajar Permata,M,21.0,Consumer,East Jakarta,Jakarta,2023-09-25
C00154,Gita Wijaya,F,42.0,Consumer,Palembang,Sumatra,2022-10-02
C00155,Tio Hidayat,F,52.0,Consumer,Surabaya,East Java,2022-11-02
C00156,Yusuf Permata,F,45.0,Consumer,Bekasi,West Java,2024-07-22
C00157,Karin Putri,M,40.0,Consumer,Central Jakarta,Jakarta,2023-05-19
C00158,Karin Saputra,F,60.0,Consumer,Surakarta,Central Java,2024-09-03
C00159,PT Global Abadi,,,Corporate,Bogor,West Java,2022-02-22
C00160,Vina Maulana,M,49.0,Consumer,East Jakarta,Jakarta,2022-10-29
C00161,Raka Santoso,M,29.0,Consumer,Malang,East Java,2022-05-11
C00162,Joko Nugroho,M,55.0,Consumer,West Jakarta,Jakarta,2024-03-14
C00163,Gita Kusuma,F,20.0,Consumer,Malang,East Java,2025-10-08
C00164,Gita Wijaya,F,37.0,Consumer,Palembang,Sumatra,2024-11-27
C00165,Dewi Maulana,M,23.0,Consumer,Cimahi,West Java,2025-06-25
C00166,CV Sukses Sejahtera,,,Small Business,Tegal,Central Java,2023-09-03
C00167,Karin Pratama,F,49.0,Consumer,Palu,Sulawesi,2025-08-30
C00168,PT Mitra Abadi,,,Corporate,East Jakarta,Jakarta,2023-09-29
C00169,PT Sentosa Sejahtera,,,Small Business,Bogor,West Java,2023-04-21
C00170,PT Maju Sejahtera,,,Small Business,Magelang,Central Java,2024-03-22
C00171,Sari Ramadhan,M,38.0,Consumer,Jember,East Java,2022-08-14
C00172,Joko Pratama,M,32.0,Consumer,Central Jakarta,Jakarta,2023-10-30
C00173,Sari Santoso,F,29.0,Consumer,Medan,Sumatra,2023-06-15
C00174,Maya Nugroho,F,37.0,Consumer,West Jakarta,Jakarta,2025-04-17
C00175,Yusuf Lestari,M,26.0,Consumer,Bandar Lampung,Sumatra,2022-04-04
C00176,Karin Hidayat,F,21.0,Consumer,Magelang,Central Java,2022-09-15
C00177,Raka Nugroho,M,49.0,Consumer,Pontianak,Kalimantan,2024-07-10
C00178,CV Sukses Abadi,,,Small Business,Kediri,East Java,2024-02-08
C00179,Citra Wijaya,M,30.0,Consumer,Cimahi,West Java,2024-03-02
C00180,Tio Nugroho,M,18.0,Consumer,Palembang,Sumatra,2025-05-29
C00181,CV Sukses Logistik,,,Small Business,Makassar,Sulawesi,2023-02-25
C00182,Vina Putri,F,57.0,Consumer,South Jakarta,Jakarta,2023-05-31
C00183,PT Sentosa Abadi,,,Small Business,Semarang,Central Java,2025-01-21
C00184,PT Maju Mandiri,,,Small Business,Bandung,West Java,2022-02-14
C00185,PT Cakra Abadi,,,Corporate,Pekanbaru,Sumatra,2024-12-18
C00186,CV Sukses Abadi,,,Small Business,South Jakarta,Jakarta,2022-09-06
C00187,Hana Permata,F,39.0,Consumer,Palembang,Sumatra,2023-04-13
C00188,Lina Nugroho,F,43.0,Consumer,Makassar,Sulawesi,2022-09-17
C00189,Andi Pratama,M,55.0,Consumer,Cimahi,West Java,2025-11-01
C00190,Karin Santoso,M,23.0,Consumer,Bandung,West Java,2022-09-23
C00191,PT Sentosa Sejahtera,,,Small Business,South Jakarta,Jakarta,2025-05-09
C00192,PT Prima Sejahtera,,,Small Business,Surabaya,East Java,2023-06-14
C00193,PT Prima Mandiri,,,Small Business,Magelang,Central Java,2022-01-22
C00194,Gita Putri,M,28.0,Consumer,Banjarmasin,Kalimantan,2024-02-09
C00195,Yusuf Wijaya,F,56.0,Consumer,Bandung,West Java,2024-11-13
C00196,Wahyu Hidayat,M,55.0,Consumer,Kediri,East Java,2022-09-10
C00197,Wahyu Saputra,F,18.0,Consumer,Pontianak,Kalimantan,2022-09-17
C00198,Hana Hidayat,M,26.0,Consumer,West Jakarta,Jakarta,2024-01-08
C00199,Fajar Saputra,M,37.0,Consumer,Magelang,Central Java,2025-10-01
C00200,PT Prima Digital,,,Small Business,Malang,East Java,2022-09-06
C00201,PT Cakra Abadi,,,Corporate,Sidoarjo,East Java,2025-07-11
C00202,Dewi Lestari,F,19.0,Consumer,West Jakarta,Jakarta,2023-07-20
C00203,CV Berkah Abadi,,,Small Business,Banjarmasin,Kalimantan,2022-01-15
C00204,PT Nusa Retail,,,Corporate,West Jakarta,Jakarta,2025-01-20
C00205,Fajar Hidayat,M,38.0,Consumer,Surabaya,East Java,2025-05-11
C00206,PT Mitra Retail,,,Corporate,Bandar Lampung,Sumatra,2022-01-03
C00207,PT Cakra Abadi,,,Corporate,Kediri,East Java,2025-10-09
C00208,Tio Santoso,F,28.0,Consumer,Malang,East Java,2023-01-27
C00209,Citra Ramadhan,F,27.0,Consumer,East Jakarta,Jakarta,2022-12-26
C00210,Citra Kusuma,M,36.0,Consumer,Bekasi,West Java,2022-05-13
C00211,Karin Saputra,F,22.0,Consumer,Bandung,West Java,2022-03-06
C00212,CV Sukses Digital,,,Small Business,East Jakarta,Jakarta,2023-11-23
C00213,Lina Nugroho,F,23.0,Consumer,West Jakarta,Jakarta,2024-02-08
C00214,Andi Permata,M,20.0,Consumer,Cimahi,West Java,2024-01-28
C00215,Wahyu Maulana,F,28.0,Consumer,Kediri,East Java,2025-04-28
C00216,Karin Putri,M,18.0,Consumer,West Jakarta,Jakarta,2024-05-03
C00217,PT Mitra Sentosa,,,Corporate,Kediri,East Java,2024-06-26
C00218,Gita Santoso,M,45.0,Consumer,Semarang,Central Java,2023-07-13
C00219,Karin Nugroho,M,60.0,Consumer,Banjarmasin,Kalimantan,2024-05-21
C00220,PT Sentosa Mandiri,,,Small Business,Depok,West Java,2023-11-19
C00221,Tio Kusuma,M,19.0,Consumer,South Jakarta,Jakarta,2022-07-06
C00222,Citra Pratama,F,39.0,Consumer,East Jakarta,Jakarta,2022-06-28
C00223,Karin Nugroho,M,21.0,Consumer,Pontianak,Kalimantan,2022-02-03
C00224,PT Global Sentosa,,,Corporate,Depok,West Java,2022-08-12
C00225,Maya Putri,M,47.0,Consumer,Cimahi,West Java,2022-03-16
C00226,Budi Pratama,M,60.0,Consumer,Padang,Sumatra,2024-07-06
C00227,PT Sentosa Mandiri,,,Small Business,Magelang,Central Java,2024-05-13
C00228,Vina Putri,F,55.0,Consumer,East Jakarta,Jakarta,2023-04-23
C00229,Citra Nugroho,F,18.0,Consumer,Cimahi,West Java,2025-11-11
C00230,PT Nusantara Abadi,,,Small Business,Manado,Sulawesi,2024-12-30
C00231,PT Cakra Abadi,,,Corporate,Malang,East Java,2022-12-31
C00232,Raka Permata,F,23.0,Consumer,Balikpapan,Kalimantan,2025-06-06
C00233,PT Global Sentosa,,,Corporate,Depok,West Java,2025-02-16
C00234,Indra Saputra,F,44.0,Consumer,Kediri,East Java,2022-04-06
C00235,Vina Saputra,F,27.0,Consumer,Medan,Sumatra,2025-04-28
C00236,Hana Permata,F,48.0,Consumer,Tegal,Central Java,2024-08-05
C00237,Dewi Hidayat,F,28.0,Consumer,Surabaya,East Java,2022-05-19
C00238,Andi Nugroho,F,55.0,Consumer,South Jakarta,Jakarta,2022-06-16
C00239,Andi Saputra,M,47.0,Consumer,Tegal,Central Java,2025-01-10
C00240,Joko Lestari,F,30.0,Consumer,Pontianak,Kalimantan,2023-08-04
C00241,Citra Lestari,M,37.0,Consumer,Tegal,Central Java,2025-10-03
C00242,Joko Pratama,M,31.0,Consumer,Sidoarjo,East Java,2025-07-05
C00243,Wahyu Wijaya,F,57.0,Consumer,Makassar,Sulawesi,2025-04-09
C00244,PT Nusa Sentosa,,,Corporate,West Jakarta,Jakarta,2024-04-17
C00245,Dewi Saputra,M,23.0,Consumer,Central Jakarta,Jakarta,2022-06-22
C00246,Sari Ramadhan,M,26.0,Consumer,Bogor,West Java,2022-10-03
C00247,PT Nusa Indonesia,,,Corporate,Depok,West Java,2024-01-19
C00248,Gita Pratama,M,34.0,Consumer,South Jakarta,Jakarta,2025-10-27
C00249,CV Sukses Digital,,,Small Business,North Jakarta,Jakarta,2025-05-25
C00250,Budi Wijaya,M,59.0,Consumer,Malang,East Java,2022-01-11
C00251,Yusuf Lestari,M,50.0,Consumer,North Jakarta,Jakarta,2025-10-11
C00252,Indra Maulana,M,29.0,Consumer,Surabaya,East Java,2025-03-13
C00253,Sari Permata,M,54.0,Consumer,Bogor,West Java,2022-12-20
C00254,PT Maju Logistik,,,Small Business,Padang,Sumatra,2025-11-07
C00255,Joko Hidayat,M,57.0,Consumer,Makassar,Sulawesi,2023-03-09
C00256,Nadia Saputra,F,22.0,Consumer,Balikpapan,Kalimantan,2023-03-22
C00257,Dewi Ramadhan,M,49.0,Consumer,Tegal,Central Java,2023-02-18
C00258,Yusuf Permata,M,38.0,Consumer,Pekanbaru,Sumatra,2025-11-01
C00259,Indra Saputra,F,57.0,Consumer,Central Jakarta,Jakarta,2023-10-29
C00260,Yusuf Hidayat,F,26.0,Consumer,Cimahi,West Java,2024-08-28
C00261,Fajar Kusuma,F,48.0,Consumer,Central Jakarta,Jakarta,2022-06-10
C00262,Fajar Pratama,F,29.0,Consumer,Surakarta,Central Java,2023-10-22
C00263,Karin Saputra,M,33.0,Consumer,Bogor,West Java,2025-08-04
C00264,Indra Wijaya,M,59.0,Consumer,South Jakarta,Jakarta,2022-07-27
C00265,Citra Permata,F,37.0,Consumer,Cimahi,West Java,2022-03-10
C00266,Yusuf Nugroho,F,41.0,Consumer,Bogor,West Java,2022-11-05
C00267,Tio Putri,F,44.0,Consumer,East Jakarta,Jakarta,2022-05-25
C00268,Sari Ramadhan,F,42.0,Consumer,Semarang,Central Java,2024-11-08
C00269,Nadia Putri,M,59.0,Consumer,Surakarta,Central Java,2024-06-16
C00270,PT Cakra Abadi,,,Corporate,Jember,East Java,2023-06-11
C00271,Hana Maulana,M,22.0,Consumer,Kediri,East Java,2023-03-23
C00272,PT Prima Sejahtera,,,Small Business,Sidoarjo,East Java,2025-02-22
C00273,PT Nusa Retail,,,Corporate,North Jakarta,Jakarta,2025-06-01
C00274,Vina Wijaya,F,42.0,Consumer,Balikpapan,Kalimantan,2023-02-13
C00275,PT Nusantara Mandiri,,,Small Business,West Jakarta,Jakarta,2023-07-27
C00276,Wahyu Permata,M,45.0,Consumer,Surakarta,Central Java,2023-05-18
C00277,PT Mitra Abadi,,,Corporate,Bogor,West Java,2025-04-17
C00278,PT Sentosa Jaya,,,Small Business,Cimahi,West Java,2025-08-25
C00279,Karin Santoso,F,59.0,Consumer,Balikpapan,Kalimantan,2024-10-15
C00280,Budi Putri,M,34.0,Consumer,Manado,Sulawesi,2025-09-27
C00281,Maya Maulana,M,35.0,Consumer,Kediri,East Java,2023-01-22
C00282,Gita Permata,F,29.0,Consumer,Bandung,West Java,2024-06-30
C00283,Hana Ramadhan,F,38.0,Consumer,Tegal,Central Java,2023-03-26
C00284,Wahyu Maulana,F,26.0,Consumer,Palu,Sulawesi,2022-01-28
C00285,Sari Lestari,M,45.0,Consumer,Jember,East Java,2022-10-30
C00286,PT Nusa Indonesia,,,Corporate,Bandung,West Java,2023-03-19
C00287,CV Sukses Abadi,,,Consumerr,Bekasi,West Java,2023-01-18
C00288,Hana Hidayat,M,56.0,Consumer,Surakarta,Central Java,2025-04-16
C00289,Sari Wijaya,F,60.0,Consumer,South Jakarta,Jakarta,2022-07-14
C00290,Budi Lestari,M,43.0,Consumer,Palu,Sulawesi,2025-03-13
C00291,PT Nusa Retail,,,Corporate,Surakarta,Central Java,2023-03-29
C00292,PT Prima Logistik,,,Small Business,Medan,Sumatra,2022-01-05
C00293,Dewi Santoso,M,29.0,Consumer,Padang,Sumatra,2025-04-02
C00294,Nadia Kusuma,F,53.0,Consumer,Makassar,Sulawesi,2025-10-21
C00295,Raka Kusuma,F,26.0,Consumer,South Jakarta,Jakarta,2025-07-28
C00296,Andi Wijaya,M,45.0,Consumer,Balikpapan,Kalimantan,2024-12-06
C00297,Yusuf Kusuma,M,36.0,Consumer,South Jakarta,Jakarta,2025-05-21
C00298,Eko Wijaya,F,51.0,Consumer,Balikpapan,Kalimantan,2025-08-17
C00299,PT Maju Mandiri,,,Small Business,Sidoarjo,East Java,2023-06-28
C00300,PT Mitra Indonesia,,,Corporate,West Jakarta,Jakarta,2025-08-31
C00301,Nadia Pratama,F,36.0,Consumer,Manado,Sulawesi,2024-09-01
C00302,Fajar Hidayat,M,21.0,Consumer,Central Jakarta,Jakarta,2022-04-05
C00303,Andi Saputra,F,54.0,Consumer,Bogor,West Java,2023-12-16
C00304,Tio Santoso,M,27.0,Consumer,Tegal,Central Java,2025-08-12
C00305,Fajar Lestari,M,43.0,Consumer,North Jakarta,Jakarta,2025-07-22
C00306,Eko Permata,F,23.0,Consumer,Kediri,East Java,2025-03-05
C00307,PT Nusantara Mandiri,,,Small Business,Central Jakarta,Jakarta,2022-07-17
C00308,Maya Permata,M,35.0,Consumer,Medan,Sumatra,2023-12-28
C00309,Budi Wijaya,F,46.0,Consumer,Surabaya,East Java,2024-01-05
C00310,Wahyu Wijaya,F,21.0,Consumer,Palembang,Sumatra,2024-08-14
C00311,Vina Putri,F,25.0,Consumer,Cimahi,West Java,2023-03-12
C00312,Maya Hidayat,M,40.0,Consumer,Surakarta,Central Java,2022-04-13
C00313,Fajar Santoso,M,34.0,Consumer,Jember,East Java,2023-03-20
C00314,Budi Putri,M,46.0,Consumer,West Jakarta,Jakarta,2022-11-08
C00315,Yusuf Lestari,M,27.0,Consumer,Malang,East Java,2024-11-23
C00316,Budi Wijaya,M,49.0,Consumer,South Jakarta,Jakarta,2022-11-30
C00317,Raka Hidayat,F,44.0,Consumer,West Jakarta,Jakarta,2023-04-06
C00318,Maya Maulana,M,31.0,Consumer,Cimahi,West Java,2023-07-19
C00319,Eko Hidayat,F,38.0,Consumer,Makassar,Sulawesi,2024-02-03
C00320,Sari Lestari,M,53.0,Consumer,Makassar,Sulawesi,2023-11-21
C00321,PT Artha Indonesia,,,Corporate,Bekasi,West Java,2024-06-26
C00322,Budi Pratama,F,59.0,Consumer,Central Jakarta,Jakarta,2024-09-10
C00323,Hana Saputra,F,26.0,Consumer,Malang,East Java,2025-06-27
C00324,Citra Saputra,M,57.0,Consumer,Bogor,West Java,2025-07-02
C00325,Nadia Pratama,M,30.0,Consumer,Bandung,West Java,2022-01-02
C00326,Gita Nugroho,M,40.0,Consumer,Tegal,Central Java,2025-06-02
C00327,Lina Santoso,F,29.0,Consumer,Pekanbaru,Sumatra,2024-02-03
C00328,Nadia Lestari,F,35.0,Consumer,Bekasi,West Java,2022-04-21
C00329,PT Prima Mandiri,,,Small Business,Kediri,East Java,2022-09-04
C00330,Eko Nugroho,F,55.0,Consumer,Sidoarjo,East Java,2025-01-06
C00331,Andi Hidayat,F,49.0,Consumer,West Jakarta,Jakarta,2024-08-27
C00332,Hana Pratama,F,33.0,Consumer,Bogor,West Java,2024-09-18
C00333,PT Nusantara Abadi,,,Small Business,Depok,West Java,2022-10-06
C00334,PT Sentosa Logistik,,,Small Business,Tegal,Central Java,2024-02-14
C00335,Vina Ramadhan,F,38.0,Consumer,Sidoarjo,East Java,2023-09-26
C00336,Fajar Hidayat,M,51.0,Consumer,Bogor,West Java,2023-03-16
C00337,Eko Kusuma,F,38.0,Consumer,Surakarta,Central Java,2023-04-27
